"OEM","Slice","GroundTruth","ExpectedCategory","ExpectedSystem","GoodTokens","CorrectClass","FailReason","Total","FirstDesc","FirstBrand","FirstCategory","AftermarketCount","OEMNumbersCount","HasSupersession","ReplTotal","ElapsedS","IsTimeout"
"92401-H9100","real_hk_seeded","exists","Tail Light - Rear Left","Electrical","tail,light,rear,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","3.18","False"
"81996-P2700","real_hk_coarse","exists","Weatherstrip & Seal","Body","weatherstrip,seal","FP","WRONG-PART: expected 'weatherstrip,seal' but got 'KEY - BLANKING PIC'","1","KEY - BLANKING PIC","Hyundai / KIA","Body / Weatherstrip & Seal","1","0","False","1","2.26","False"
"99150-R0000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1.77","False"
"92102-H9000","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight'","2","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.29","False"
"92401-DW000","real_hk_seeded","exists","Tail Light - Rear Left","Electrical","tail,light,rear,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","3.2","False"
"31036-R0500","real_hk_coarse","exists","Front Differential","Drivetrain","front,differential","FP","WRONG-PART: expected 'front,differential' but got 'Filler Pipe, fuel tank (Rear)'","1","Filler Pipe, fuel tank (Rear)","Hyundai / KIA"," / Filler Pipe, fuel tank","0","0","False","0","3.13","False"
"20920-3NA03","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.48","False"
"87610-P1190","real_hk_seeded","exists","Exterior Mirror","Body","exterior,mirror","FP","WRONG-PART: expected 'exterior,mirror' but got 'Outside Mirror for Kia Sportage (2021+)'","1","Outside Mirror for Kia Sportage (2021+)","Kia","/ Outside Mirror","0","0","False","0","3.24","False"
"81716-S9500","real_hk_coarse","exists","Weatherstrip & Seal","Body","weatherstrip,seal","FP","WRONG-PART: expected 'weatherstrip,seal' but got 'COVER - POWER TAIL GAGE'","1","COVER - POWER TAIL GAGE","Hyundai / KIA","Body / Weatherstrip & Seal","0","0","False","0","2.29","False"
"99211-H8050","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1.04","False"
"82460-Q5510","real_hk_seeded","exists","Power Window Motor - Front","Body","power,window,motor,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Electric Motor, window regulator","Hyundai / KIA"," / Electric Motor, window regulator","0","0","False","0","4.14","False"
"91880-CV360","real_hk_coarse","exists","Wiring Harness","Electrical","wiring,harness","FP","WRONG-PART: expected 'wiring,harness' but got 'Wire Harness (roof) for Hyundai Staria (2021+)'","1","Wire Harness (roof) for Hyundai Staria (2021+)","Hyundai","Electrical / Wiring Harness","0","0","False","0","4.15","False"
"99110-K0500","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1.04","False"
"92402-DW000","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","4.26","False"
"91600-DW360","real_hk_coarse","exists","Wiring Harness","Electrical","wiring,harness","FP","WRONG-PART: expected 'wiring,harness' but got 'Wire Harness (front body)'","1","Wire Harness (front body)","Hyundai / KIA","Electrical / Wiring Harness","0","0","False","0","3.26","False"
"80200-L8000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.59","False"
