"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"99211-K0100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99211"
"99211-Q4500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q4","99211"
"09149-P4100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P4","09149"
"80410-DW000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","80410"
"00018-ADU80","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AD","00018"
"09365-G8100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","G8","09365"
"09375-CN300","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","CN","09375"
"11685-06883","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","06","11685"
"99211-P1030","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99211"
"99230-P1100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99230"
"77910-T1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","T1","77910"
"99150-K0600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99150"
"99140-P2100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99140"
"99211-J5500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99211"
"11403-10203","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","10","11403"
"09430-A5200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","A5","09430"
"09527-AL400","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AL","09527"
"09149-L0950","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L0","09149"
"77990-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","77990"
"09430-C1130","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C1","09430"
"30112-B1923","plausible_hk","not_hk_format","Drivetrain","Propeller Shaft","","Hyundai/Kia","B1","30112"
